Id,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
348,FeCoNiCuMo0.2,FCC,162,,,,1041,54,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,0,0,0,0,0,0,0.238,0,0.238,0.238,0,0,0,0,0,0,0.048,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
565,FeCoNi1.5CuB0.5Y0.2,FCC,,,,,1023.57,,Untreated,https://doi.org/10.1016/j.jallcom.2022.164310,1,0,0,0,0,0,0.096,0,0,0.192,0,0.192,0.192,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0.038,0,0
780,Ni1.5CoCuFeCr0.5,FCC1+FCC2,376,,,,1009,29.5,spark plasma sintering (SPS).,dx.doi.org/10.1016/j.jallcom.2015.11.205,1,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
894,Al0.5CoCrCuFeNiSi0.8,FCC+BCC,653,,,,1006,3.7,,http://dx.doi.org/10.1016/j.jallcom.2014.11.085,1,1,0,0,0,0.079,0,0,0,0.159,0.159,0.159,0.159,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0.127,0,0,0,0,0,0,0,0
55,AlCoCrCuFeMnNi,FCC + BCC + Im,,,,,1005,15,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,1,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0.143,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
790,AlCrFeCoNiCuMn,,,,,,1005,15,,dx.doi.org/10.1016/j.matchar.2016.02.018,0,0,0,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0.143,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
67,Al1.125CuFe0.75NiTi1.125,FCC,516,,,,980,7,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
68,Al22.5Cu20.0Fe15.0Ni20.0Ti22.5,FCC,516,,,,980,7,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
54,AlCoCrCuFeNi,FCC + BCC,406,,,,950,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.167,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
656,Al25.0Ti25.0Ni25.0Cu25.0,FCC,518,,,,870,0.96,973K annealing,dx.doi.org/10.1016/j.apsusc.2015.07.207,1,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
784,NiCoCuFeCr,FCC1+FCC2,321,,,,869,32.2,spark plasma sintering (SPS).,dx.doi.org/10.1016/j.jallcom.2015.11.205,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
883,FeCrNiCoCu0.5Al0.75,FCC+BCC,350,,,,820,28,,http://dx.doi.org/10.1016/j.jallcom.2014.06.090,1,1,0,0,0,0.143,0,0,0,0.19,0.19,0.095,0.19,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
528,Al35.0Mg15.0Zn30.0Cu5.0Si15.0,FCC+Mg2Si,,,,,765,6.3,As-cast,https://doi.org/10.1016/j.jallcom.2021.163508,1,0,0,1,0,0.35,0,0,0,0,0,0.05,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.3,0
52,Al0.25CoCrCu0.75FeNiTi0.5,FCC,,,,,750,39,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.045,0,0,0,0.182,0.182,0.136,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
782,Ni1.8CoCuFeCr0.2,FCC1+FCC2,322,,,,747,32.4,spark plasma sintering (SPS).,dx.doi.org/10.1016/j.jallcom.2015.11.205,1,0,0,0,0,0,0,0,0,0.2,0.04,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0
